,Unnamed: 0,ID,Filename,Name,Type,Pic,Date,H_G_D,Video,Channel Depth,Wind,AIS LINK,Distance,Atmospheric & Oceanographic Data,Duration,Notes
1,86,93,93__A__Draga_1.wav,Moanha tests sample 1,Dredger,https://atlanttic.uvigo.es/underwaternoise/fotos/adricristuy.jpg,3/6/2014 0:00,"(3),(16),(5)",No,12,Not available,http://www.xolda.net/canlemar/maquinaria3.php,100 m,Not available,0:30,Dredger Adricristuy recording during Moanha measurements campaign for ECODRAGA project. Sea bottom was basically mud.
3,0,80,80__04_10_12_adricristuy.wav,Adricristuy,Dredger,https://atlanttic.uvigo.es/underwaternoise/fotos/adricristuy.jpg,10/4/2012 14:00,"(3),(16),(5)",No,20,Not available,http://www.xolda.net/canlemar/maquinaria3.php,350 m,Considerable swell. Moderate / low wave,1:00,Dredger Adricristuy recording during Punta Langosteira measurements campaign for ECODRAGA project. The area was pretty dredged.
2,89,96,96__A__Draga_4.wav,Moanha tests sample 4,Dredger,https://atlanttic.uvigo.es/underwaternoise/fotos/adricristuy.jpg,3/6/2014 0:00,"(2),(16),(5)",No,12,Not available,http://www.xolda.net/canlemar/maquinaria3.php,100 m,Not available,1:02,Dredger Adricristuy recording during Moanha measurements campaign for ECODRAGA project. Sea bottom was basically mud.
12,21,41,41__19_07_13_MiñoUno_Entra.wav,Minho uno (arrives),Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/minoUno.jpg,7/19/2013 0:24,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,http://www.marinetraffic.com/ais/en/shipdetails.aspx?mmsi=224117120,<50,"Mean air temperature (ºC) 23,4
Maximum air temperature (ºC) 31
Minimum air temperature (ºC) 17,4
Mean relative humidity (%) 68
Maximum relative humidity (%) 100
Minimum relative humidity (%) 44
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 11,81
Streak (km/h) 36,94
Streak direction (Degrees) 2
Main wind direction(Degrees) 45
Rain (L/m2) 0",0:52,"Considerable harbour noise. H2 not available. Minho uno arrives at port, Pirata de Cies leaves in the distance. Low signal."
24,52,62,62__23_07_13_H3_MarDeCangas_SALE.wav,Mar de Cangas (leaves),Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/marDeCangas.gif,7/23/2013 14:00,"(1,2,3)(2,16,64)(5.5,6.5,7.5)",SI,12,10.5,http://www.marinetraffic.com/ais/en/shipdetails.aspx?mmsi=224084240,50-100,"Mean air temperature (ºC) 20
Maximum air temperature (ºC) 22,7
Minimum air temperature (ºC) 17
Mean relative humidity (%) 81
Maximum relative humidity (%) 93
Minimum relative humidity (%) 65
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 13,28
Streak (km/h) 43,34
Streak direction (Degrees) 4
Main wind direction(Degrees) 225
Rain (L/m2) 0",5:14,"Zone 2 - in front of Cangas. Choppy sea. Recording with better gain without clipping is presented. Other signals available. Signal in H3, leaving Cangas port. This take is longer than the second one. At the en of the take there's a crossing with another ship but it seems to not interfere."
26,17,38,38__19_07_13_Arroios_Sale_2entran.wav,Arroios,Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/arroyos.gif,7/19/2013 0:05,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,http://www.marinetraffic.com/ais/en/shipdetails.aspx?MMSI=224092860,<50,"Mean air temperature (ºC) 23,4
Maximum air temperature (ºC) 31
Minimum air temperature (ºC) 17,4
Mean relative humidity (%) 68
Maximum relative humidity (%) 100
Minimum relative humidity (%) 44
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 11,81
Streak (km/h) 36,94
Streak direction (Degrees) 2
Main wind direction(Degrees) 45
Rain (L/m2) 0",1:46,Considerable harbour noise. H2 not available. Arroios leaves while Pirata de Cies and Mar de Ons arrive.
21,58,59,59__23_07_13_H2_MarDeMouro.wav,Mar de Mouro (arrives),Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/marDeMouro.gif,7/23/2013 14:50,"(1,2,3)(2,16,64)(5.5,6.5,7.5)",SI,12,10.5,http://www.marinetraffic.com/ais/en/shipdetails.aspx?mmsi=224367000,50-100,"Mean air temperature (ºC) 20
Maximum air temperature (ºC) 22,7
Minimum air temperature (ºC) 17
Mean relative humidity (%) 81
Maximum relative humidity (%) 93
Minimum relative humidity (%) 65
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 13,28
Streak (km/h) 43,34
Streak direction (Degrees) 4
Main wind direction(Degrees) 225
Rain (L/m2) 0",4:10,"Zone 2 - in front of Cangas. Choppy sea. Recording with better gain without clipping is presented. Other signals available. Signal in H2, Marde Mouro sailing to port at considerable speed."
13,39,32,32__19_07_13_Arroios_llega.wav,Arroios (arrives),Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/arroyos.gif,7/19/2013 12:39,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,http://www.marinetraffic.com/ais/en/shipdetails.aspx?MMSI=224092860,<50,"Mean air temperature (ºC) 23,4
Maximum air temperature (ºC) 31
Minimum air temperature (ºC) 17,4
Mean relative humidity (%) 68
Maximum relative humidity (%) 100
Minimum relative humidity (%) 44
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 11,81
Streak (km/h) 36,94
Streak direction (Degrees) 2
Main wind direction(Degrees) 45
Rain (L/m2) 0",3:36,"Considerable harbour noise. H2 not available Arriving at port, Mar de Onza going out in the distance"
9,53,63,63__23_07_13_H3_MarDeOnza_LLEGA.wav,Mar de Onza (arrives),Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/marOnza.gif,7/23/2013 14:08,"(1,2,3)(2,16,64)(5.5,6.5,7.5)",SI,12,10.5,http://www.marinetraffic.com/ais/en/shipdetails.aspx?mmsi=224081370,50-100,"Mean air temperature (ºC) 20
Maximum air temperature (ºC) 22,7
Minimum air temperature (ºC) 17
Mean relative humidity (%) 81
Maximum relative humidity (%) 93
Minimum relative humidity (%) 65
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 13,28
Streak (km/h) 43,34
Streak direction (Degrees) 4
Main wind direction(Degrees) 225
Rain (L/m2) 0",3:16,"Zone 2 - in front of Cangas. Choppy sea. Recording with better gain without clipping is presented. Other signals available. Signal in H3, arriving to port."
23,19,43,43__19_07_13_PirataDeCies_Llega_Interf.wav,"Pirata de Cies (arrives, interference)",Passengers,https://atlanttic.uvigo.es/underwaternoise/fotos/pirataDeCies.jpg,7/19/2013 0:08,"(1,2)(2,32)(2.5,3.5)",SI,5.8,13,http://www.marinetraffic.com/ais/en/shipdetails.aspx?MMSI=224924990,<50,"Mean air temperature (ºC) 23,4
Maximum air temperature (ºC) 31
Minimum air temperature (ºC) 17,4
Mean relative humidity (%) 68
Maximum relative humidity (%) 100
Minimum relative humidity (%) 44
Dew temperature (ºC) 16,5
Cold hours (7 ºC base) (h) 0
Wind speed (km/h) 11,81
Streak (km/h) 36,94
Streak direction (Degrees) 2
Main wind direction(Degrees) 45
Rain (L/m2) 0",0:51,"Considerable harbour noise. H2 not available. Pirata de Cies arrives behind Mar de Cangas, Arrois leaves."
